,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed
4296,Dell OptiPlex 3000 3090 Desktop Computer - Intel Core i5 10th Gen i5-10505 Hexa-core (6 Core) 3.20 GHz - 8 GB RAM DDR4 SDRAM - 256 GB M.2 PCI Express NVMe SSD - Small Form Factor - Black,NO RATING,NO NUM RATING,$793..99,Core i5,256 GB,256 GB,3.2 GHz
4297,"Dell OptiPlex 3060 SFF Desktop Computer with Intel Core i5-8500 3 GHz Hexa-core, 8GB RAM, 256GB SSD (KM82W)",4.4 out of 5 stars,50,$789..00,Core i5,0 GB,8 GB,3 GHz
4298,"Acer Aspire Desktop, 7th Gen Intel Core i3-7100, 8GB DDR4, 1TB HDD, Windows 10 Home, TC-780-ACKi3",4.3 out of 5 stars,598,,Core i3,1000 GB,8 GB,3.9 GHz
4299,"iBUYPOWER Gaming PC Computer Mini Desktop (AMD Ryzen 3 3100 3.6GHz, AMD Radeon RX 550 2GB, 8GB DDR4 RAM, 240GB SSD,WiFi Ready, Windows 10 Home) w/OD Mouse Pad",4.0 out of 5 stars,53,$787..10,Ryzen 3 3100,240 GB,8 GB,3.60 GHz
4300,"Periphio Gaming PC Tower Desktop Computer, Intel Quad Core i5 3.2GHz, 8GB RAM, 120GB SSD 1TB 7200 RPM HDD, Windows 10, GTX 1050TI Graphics Card, Periphio 24 Inch Monitor, RGB, HDMI, Wi-Fi (Renewed)",3.8 out of 5 stars,3,$784..99,Core i5,120 GB,8 GB,3.20 GHz
4301,"Periphio Gaming PC Tower Desktop Computer, Intel Quad Core i5 3.2GHz, 8GB RAM, 120GB SSD + 1TB 7200 RPM HDD, Windows 10, GTX 1050TI Graphics Card, Periphio 24 Inch Monitor, RGB, HDMI, Wi-Fi (Renewed)",5.0 out of 5 stars,1,$784..99,Core i5,120 GB,8 GB,3.20 GHz
4302,"Gigatech Gaming Apollo 5 Gaming Desktop - AMD Ryzen 5 5600G 6-Core 12-Threads 4.4GHz Boost, Radeon Vega 8, 8GB DDR4 3200MHz, 256GB SSD, 1TB HDD, Built in Wi-Fi, Windows 10",NO RATING,NO NUM RATING,,Ryzen 5 3400G,256 GB,8 GB,4.40 GHz
4303,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 16GB RAM, 256GB SSD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",NO RATING,NO NUM RATING,,Core i7,256 GB,16 GB,2.50 GHz
4304,"CUK XPS 8940 Gaming Desktop (Intel Core i7, 16GB RAM, 512GB NVMe SSD + 1TB HDD, Intel UHD Graphics 750, Windows 11 Home) Professional Content Creation Tower PC w/Accessories Bundle (Made_by_Dell)",5.0 out of 5 stars,2,,Core i7,1512 GB,16 GB,2.50 GHz
4305,Dell XPS 8940 Desktop (2020) | Core i5-512GB SSD - 16GB RAM | 6 Cores @ 4.3 GHz - 10th Gen CPU,NO RATING,NO NUM RATING,,Core i5,512 GB,16.00 GB,2.90 GHz
4306,Dell OptiPlex 7090 SFF Desktop (2021) | 6-core i5 | 500GB HDD - 8GB (Renewed),NO RATING,NO NUM RATING,$781..97,Core i5,500 GB,8.00 GB,3.10 GHz
