,Product Name,Avg. Rating,# Ratings,Price,Processor Type,Disk Size,RAM,Processor Speed,Brand,Bluetooth,Liq. Cooled,RAM: Type,RAM : GB,Processor Speed: GHz,Disk Size: GB
2396,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i5-8500 6-Core Processor up to 4.10 GHz, 64GB DDR4 Memory, 256GB SSD + 4TB 7200 RPM Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1949.99,Intel Core i5,4256 GB,64 GB,3.00 GHz,Dell,0,0,GB,64.0,3.0,4256.0 GB
2397,Adamant Custom 8-Core Gaming Desktop Computer AMD Ryzen 7 5700G 3.8Ghz X570 32Gb DDR4 RAM 5TB HDD 2TB 3400MB/s SSD 700W PSU Wi-Fi Bluetooth Onboard Radeon Vega 8,0.0/0,0,1949.99,AMD A Series,5 TB,32 GB,3.70 GHz,Adamant,1,0,GB,32.0,3.7,5000.0 GB
2398,"CLX Set Gaming Desktop - Liquid Cooled AMD Ryzen 9 5900X 3.7GHz 12-Core Processor, 16GB DDR4 Memory, GeForce RTX 3060 12GB GDDR6 Graphics, 500GB SSD, 3TB HDD, WiFi, Windows 11 Home 64-bit,Black",0.0/0,0,1949.49,Ryzen 9,3 TB,16.0 GB,3.7 GHz,CLX,0,1,GB,16.0,3.7,3000.0 GB
2400,"Lenovo Legion Tower 5i Gaming & Entertainment Desktop PC (Intel i5-11400 6-Core, 8GB RAM, 2TB PCIe SSD, GTX 1650 Super, WiFi, Bluetooth, HDMI, USB 3.2, Display Port, Win 11 Pro) with Hub",0.0/0,0,1949.0,Intel Core i5,2 TB,8 GB,2.60 GHz,Lenovo,1,0,GB,8.0,2.6,2000.0 GB
2401,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 24GB RAM, 8TB SSD + 2TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1949.0,Intel Core i7,10000 GB,24 GB,2.50 GHz,Dell,0,0,GB,24.0,2.5,10000.0 GB
2402,"Dell XPS 8940 Desktop Computer - 11th Gen Intel Core i7-11700 up to 4.9 GHz CPU, 24GB RAM, 4TB SSD + 12TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD Burner, Windows 11 Home, Black",0.0/0,0,1949.0,Intel Core i7,16000 GB,24 GB,2.50 GHz,Dell,0,0,GB,24.0,2.5,16000.0 GB
2403,"2021 Latest Dell XPS 8940 Desktop - 11th Gen Intel Core i9-11900K up to 5.3 GHz CPU, 24GB RAM, 4TB SSD + 2TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 10",0.0/0,0,1949.0,Intel Core i9,6000 GB,24 GB,3.50 GHz,Dell,0,0,GB,24.0,3.5,6000.0 GB
2404,"2021 Latest Dell XPS 8940 Desktop - 11th Gen Intel Core i9-11900K up to 5.3GHz CPU, 24GB RAM, 512GB SSD + 12TB HDD, Intel UHD Graphics 750, Killer Wi-Fi 6, 500W PSU, DVD-RW, Windows 10",0.0/0,0,1949.0,Intel Core i9,12512 GB,24 GB,3.50 GHz,Dell,0,0,GB,24.0,3.5,12512.0 GB
2406,"XPS 8940 Special Edition Gaming Desktop Tower PC, Intel 8-Core i7-11700 Up to 4.9 GHz, GeForce GTX 1650 Super (64GB DDR4 RAM | 4TB SATA SSD | 1TB HDD) DVD-RW, Wi-Fi 6 Bluetooth VR Ready 500 PSU Win10P",0.0/0,0,1939.99,Intel Core i7,4 TB,64 GB,4.90 GHz,other,1,0,GB,64.0,4.9,4000.0 GB
2407,"Dell Optiplex 7060 SFF Desktop - 8th Gen Intel Core i7-8700 6-Core Processor up to 4.60 GHz, 64GB DDR4 Memory, 256GB SSD + 1TB SATA Hard Drive, Intel UHD Graphics 630, DVD Burner, Windows 10 Pro",0.0/0,0,1939.99,Intel Core i7,1256 GB,64 GB,3.20 GHz,Dell,0,0,GB,64.0,3.2,1256.0 GB
